date,amount,description,key,Status
2025-03-03,2524.29,service fee - may-shepard,"(Timestamp('2025-03-03 00:00:00'), 2524.29, 'service fee - may-shepard')",Matched
2025-01-21,4452.09,equipment purchase - taylor-kennedy,"(Timestamp('2025-01-21 00:00:00'), 4452.09, 'equipment purchase - taylor-kennedy')",Matched
2025-02-10,2493.2,vendor payment - glover and sons,"(Timestamp('2025-02-10 00:00:00'), 2493.2, 'vendor payment - glover and sons')",Matched
2025-01-25,7654.9,"equipment purchase - brown, ballard and wilson","(Timestamp('2025-01-25 00:00:00'), 7654.9, 'equipment purchase - brown, ballard and wilson')",Matched
2025-01-07,2885.43,insurance payout - chase-mercer,"(Timestamp('2025-01-07 00:00:00'), 2885.43, 'insurance payout - chase-mercer')",Matched
2025-01-06,4065.76,insurance payout - roberts plc,"(Timestamp('2025-01-06 00:00:00'), 4065.76, 'insurance payout - roberts plc')",Matched
2025-02-27,7667.6,"travel expense - sloan, smith and russo","(Timestamp('2025-02-27 00:00:00'), 7667.6, 'travel expense - sloan, smith and russo')",Matched
2025-03-13,9395.59,office rent - villanueva llc,"(Timestamp('2025-03-13 00:00:00'), 9395.59, 'office rent - villanueva llc')",Matched
2025-02-10,1708.77,insurance payout - torres plc,"(Timestamp('2025-02-10 00:00:00'), 1708.77, 'insurance payout - torres plc')",Matched
2025-03-07,5370.16,insurance payout - townsend group,"(Timestamp('2025-03-07 00:00:00'), 5370.16, 'insurance payout - townsend group')",Matched
2025-03-22,7239.71,service fee - martinez plc,"(Timestamp('2025-03-22 00:00:00'), 7239.71, 'service fee - martinez plc')",Matched
2025-03-02,8740.9,"invoice payment - romero, lawrence and hicks","(Timestamp('2025-03-02 00:00:00'), 8740.9, 'invoice payment - romero, lawrence and hicks')",Matched
2025-02-08,7734.63,salary transfer - anderson ltd,"(Timestamp('2025-02-08 00:00:00'), 7734.63, 'salary transfer - anderson ltd')",Matched
2025-02-07,516.46,vendor payment - chambers group,"(Timestamp('2025-02-07 00:00:00'), 516.46, 'vendor payment - chambers group')",Matched
2025-03-03,2218.47,"customer refund - graves, cox and cook","(Timestamp('2025-03-03 00:00:00'), 2218.47, 'customer refund - graves, cox and cook')",Matched
2025-01-13,4191.68,equipment purchase - larson-jordan,"(Timestamp('2025-01-13 00:00:00'), 4191.68, 'equipment purchase - larson-jordan')",Matched
2025-02-22,6563.64,equipment purchase - ryan and sons,"(Timestamp('2025-02-22 00:00:00'), 6563.64, 'equipment purchase - ryan and sons')",Matched
2025-01-23,4237.06,office rent - everett llc,"(Timestamp('2025-01-23 00:00:00'), 4237.06, 'office rent - everett llc')",Matched
2025-02-06,4598.06,"customer refund - payne, wiggins and foster","(Timestamp('2025-02-06 00:00:00'), 4598.06, 'customer refund - payne, wiggins and foster')",Matched
2025-03-06,4733.41,salary transfer - williams llc,"(Timestamp('2025-03-06 00:00:00'), 4733.41, 'salary transfer - williams llc')",Matched
2025-01-15,3373.77,equipment purchase - livingston-roy,"(Timestamp('2025-01-15 00:00:00'), 3373.77, 'equipment purchase - livingston-roy')",Matched
2025-03-24,2646.92,"office rent - clark, nelson and salas","(Timestamp('2025-03-24 00:00:00'), 2646.92, 'office rent - clark, nelson and salas')",Matched
2025-02-08,5866.36,insurance payout - cochran-davis,"(Timestamp('2025-02-08 00:00:00'), 5866.36, 'insurance payout - cochran-davis')",Matched
2025-01-02,2689.38,"bank charges - phelps, keith and mendoza","(Timestamp('2025-01-02 00:00:00'), 2689.38, 'bank charges - phelps, keith and mendoza')",Matched
2025-03-29,5074.95,travel expense - miller-bennett,"(Timestamp('2025-03-29 00:00:00'), 5074.95, 'travel expense - miller-bennett')",Matched
2025-01-28,5825.28,invoice payment - irwin inc,"(Timestamp('2025-01-28 00:00:00'), 5825.28, 'invoice payment - irwin inc')",Matched
2025-03-11,9941.82,vendor payment - dougherty llc,"(Timestamp('2025-03-11 00:00:00'), 9941.82, 'vendor payment - dougherty llc')",Matched
2025-03-02,414.18,service fee - gould and sons,"(Timestamp('2025-03-02 00:00:00'), 414.18, 'service fee - gould and sons')",Matched
2025-02-17,9929.28,"service fee - kent, velez and mcdonald","(Timestamp('2025-02-17 00:00:00'), 9929.28, 'service fee - kent, velez and mcdonald')",Matched
2025-02-18,894.47,customer refund - ballard-cardenas,"(Timestamp('2025-02-18 00:00:00'), 894.47, 'customer refund - ballard-cardenas')",Matched
2025-01-18,6569.99,bank charges - scott-burgess,"(Timestamp('2025-01-18 00:00:00'), 6569.99, 'bank charges - scott-burgess')",Matched
2025-03-01,6767.65,customer refund - scott-cunningham,"(Timestamp('2025-03-01 00:00:00'), 6767.65, 'customer refund - scott-cunningham')",Matched
2025-02-05,1965.96,vendor payment - spencer-carter,"(Timestamp('2025-02-05 00:00:00'), 1965.96, 'vendor payment - spencer-carter')",Matched
2025-01-05,8113.83,"service fee - bell, carroll and johnson","(Timestamp('2025-01-05 00:00:00'), 8113.83, 'service fee - bell, carroll and johnson')",Matched
2025-01-31,2140.21,"vendor payment - moore, harrison and rose","(Timestamp('2025-01-31 00:00:00'), 2140.21, 'vendor payment - moore, harrison and rose')",Matched
2025-03-28,7062.53,"invoice payment - sanchez, harrison and garcia","(Timestamp('2025-03-28 00:00:00'), 7062.53, 'invoice payment - sanchez, harrison and garcia')",Matched
2025-02-26,2419.96,salary transfer - garcia llc,"(Timestamp('2025-02-26 00:00:00'), 2419.96, 'salary transfer - garcia llc')",Matched
2025-01-30,8176.28,insurance payout - barton and sons,"(Timestamp('2025-01-30 00:00:00'), 8176.28, 'insurance payout - barton and sons')",Matched
2025-03-26,5260.39,"service fee - browning, nelson and mason","(Timestamp('2025-03-26 00:00:00'), 5260.39, 'service fee - browning, nelson and mason')",Matched
2025-03-22,6819.63,"customer refund - melton, molina and pugh","(Timestamp('2025-03-22 00:00:00'), 6819.63, 'customer refund - melton, molina and pugh')",Matched
2025-01-20,3068.9,"office rent - wilson, romero and barrett","(Timestamp('2025-01-20 00:00:00'), 3068.9, 'office rent - wilson, romero and barrett')",Matched
2025-03-01,9155.94,customer refund - oliver ltd,"(Timestamp('2025-03-01 00:00:00'), 9155.94, 'customer refund - oliver ltd')",Matched
2025-02-27,8486.62,"vendor payment - dyer, gomez and morgan","(Timestamp('2025-02-27 00:00:00'), 8486.62, 'vendor payment - dyer, gomez and morgan')",Matched
2025-03-27,5632.62,equipment purchase - robertson inc,"(Timestamp('2025-03-27 00:00:00'), 5632.62, 'equipment purchase - robertson inc')",Matched
2025-02-08,9574.5,"invoice payment - powell, singh and bryant","(Timestamp('2025-02-08 00:00:00'), 9574.5, 'invoice payment - powell, singh and bryant')",Matched
2025-04-01,2124.68,salary transfer - schneider group,"(Timestamp('2025-04-01 00:00:00'), 2124.68, 'salary transfer - schneider group')",Matched
2025-03-12,3283.99,travel expense - anderson-myers,"(Timestamp('2025-03-12 00:00:00'), 3283.99, 'travel expense - anderson-myers')",Matched
2025-03-05,4713.44,"equipment purchase - ellis, byrd and watson","(Timestamp('2025-03-05 00:00:00'), 4713.44, 'equipment purchase - ellis, byrd and watson')",Matched
2025-01-29,7438.4,invoice payment - baker and sons,"(Timestamp('2025-01-29 00:00:00'), 7438.4, 'invoice payment - baker and sons')",Matched
2025-02-03,5577.78,insurance payout - lawrence-garcia,"(Timestamp('2025-02-03 00:00:00'), 5577.78, 'insurance payout - lawrence-garcia')",Matched
2025-01-22,1485.59,"customer refund - mcdonald, velasquez and higgins","(Timestamp('2025-01-22 00:00:00'), 1485.59, 'customer refund - mcdonald, velasquez and higgins')",Matched
2025-03-04,1922.07,"customer refund - porter, reynolds and nolan","(Timestamp('2025-03-04 00:00:00'), 1922.07, 'customer refund - porter, reynolds and nolan')",Matched
2025-01-08,6216.57,insurance payout - arnold and sons,"(Timestamp('2025-01-08 00:00:00'), 6216.57, 'insurance payout - arnold and sons')",Matched
2025-01-23,1159.46,vendor payment - nunez llc,"(Timestamp('2025-01-23 00:00:00'), 1159.46, 'vendor payment - nunez llc')",Matched
2025-03-14,2507.76,"salary transfer - cox, brown and rodriguez","(Timestamp('2025-03-14 00:00:00'), 2507.76, 'salary transfer - cox, brown and rodriguez')",Matched
2025-03-25,9917.58,"invoice payment - powell, hayes and malone","(Timestamp('2025-03-25 00:00:00'), 9917.58, 'invoice payment - powell, hayes and malone')",Matched
2025-03-14,9775.56,vendor payment - mcmahon-kelly,"(Timestamp('2025-03-14 00:00:00'), 9775.56, 'vendor payment - mcmahon-kelly')",Matched
2025-03-29,9263.29,"customer refund - meyer, allen and davis","(Timestamp('2025-03-29 00:00:00'), 9263.29, 'customer refund - meyer, allen and davis')",Matched
2025-01-10,3062.84,"insurance payout - carroll, webb and bradley","(Timestamp('2025-01-10 00:00:00'), 3062.84, 'insurance payout - carroll, webb and bradley')",Matched
2025-02-20,9692.31,bank charges - tucker inc,"(Timestamp('2025-02-20 00:00:00'), 9692.31, 'bank charges - tucker inc')",Matched
2025-03-18,7865.94,"service fee - mora, hall and acevedo","(Timestamp('2025-03-18 00:00:00'), 7865.94, 'service fee - mora, hall and acevedo')",Matched
2025-01-02,2989.29,service fee - kidd group,"(Timestamp('2025-01-02 00:00:00'), 2989.29, 'service fee - kidd group')",Matched
2025-02-01,5762.41,office rent - walsh-robertson,"(Timestamp('2025-02-01 00:00:00'), 5762.41, 'office rent - walsh-robertson')",Matched
2025-01-19,726.34,service fee - smith-gordon,"(Timestamp('2025-01-19 00:00:00'), 726.34, 'service fee - smith-gordon')",Matched
2025-02-08,167.0,service fee - perez inc,"(Timestamp('2025-02-08 00:00:00'), 167.0, 'service fee - perez inc')",Matched
2025-03-15,7841.55,bank charges - benson-hicks,"(Timestamp('2025-03-15 00:00:00'), 7841.55, 'bank charges - benson-hicks')",Matched
2025-03-16,4067.97,"customer refund - hernandez, barron and silva","(Timestamp('2025-03-16 00:00:00'), 4067.97, 'customer refund - hernandez, barron and silva')",Matched
2025-03-18,6417.99,"vendor payment - richardson, farmer and wallace","(Timestamp('2025-03-18 00:00:00'), 6417.99, 'vendor payment - richardson, farmer and wallace')",Matched
2025-03-13,5847.13,"insurance payout - lee, powell and boyd","(Timestamp('2025-03-13 00:00:00'), 5847.13, 'insurance payout - lee, powell and boyd')",Matched
2025-01-04,4879.43,travel expense - rose-harrell,"(Timestamp('2025-01-04 00:00:00'), 4879.43, 'travel expense - rose-harrell')",Matched
2025-02-23,9213.42,"vendor payment - davis, brock and stanton","(Timestamp('2025-02-23 00:00:00'), 9213.42, 'vendor payment - davis, brock and stanton')",Matched
2025-01-27,5259.04,bank charges - howard-hernandez,"(Timestamp('2025-01-27 00:00:00'), 5259.04, 'bank charges - howard-hernandez')",Matched
2025-03-24,1182.69,"office rent - nelson, branch and nguyen","(Timestamp('2025-03-24 00:00:00'), 1182.69, 'office rent - nelson, branch and nguyen')",Matched
2025-01-21,3376.8,service fee - parks-murphy,"(Timestamp('2025-01-21 00:00:00'), 3376.8, 'service fee - parks-murphy')",Matched
2025-03-01,2395.37,"service fee - anderson, bautista and medina","(Timestamp('2025-03-01 00:00:00'), 2395.37, 'service fee - anderson, bautista and medina')",Matched
2025-02-19,144.06,"salary transfer - cuevas, robles and perry","(Timestamp('2025-02-19 00:00:00'), 144.06, 'salary transfer - cuevas, robles and perry')",Matched
2025-01-27,2855.61,vendor payment - hancock-ellison,"(Timestamp('2025-01-27 00:00:00'), 2855.61, 'vendor payment - hancock-ellison')",Matched
2025-03-15,1107.35,customer refund - combs llc,"(Timestamp('2025-03-15 00:00:00'), 1107.35, 'customer refund - combs llc')",Matched
2025-02-28,1228.15,equipment purchase - fisher-calderon,"(Timestamp('2025-02-28 00:00:00'), 1228.15, 'equipment purchase - fisher-calderon')",Matched
2025-03-09,9662.57,bank charges - marshall-morris,"(Timestamp('2025-03-09 00:00:00'), 9662.57, 'bank charges - marshall-morris')",Matched
2025-03-17,1230.9,bank charges - brown group,"(Timestamp('2025-03-17 00:00:00'), 1230.9, 'bank charges - brown group')",Matched
2025-03-20,5942.67,office rent - casey plc,"(Timestamp('2025-03-20 00:00:00'), 5942.67, 'office rent - casey plc')",Matched
2025-01-15,1912.14,office rent - prince ltd,"(Timestamp('2025-01-15 00:00:00'), 1912.14, 'office rent - prince ltd')",Matched
2025-01-18,1952.28,"equipment purchase - faulkner, cooper and mcbride","(Timestamp('2025-01-18 00:00:00'), 1952.28, 'equipment purchase - faulkner, cooper and mcbride')",Matched
2025-01-02,4897.63,salary transfer - avila-robertson,"(Timestamp('2025-01-02 00:00:00'), 4897.63, 'salary transfer - avila-robertson')",Matched
2025-02-23,7130.41,"equipment purchase - charles, mills and baker","(Timestamp('2025-02-23 00:00:00'), 7130.41, 'equipment purchase - charles, mills and baker')",Matched
2025-01-14,7386.29,salary transfer - martinez-mckay,"(Timestamp('2025-01-14 00:00:00'), 7386.29, 'salary transfer - martinez-mckay')",Matched
2025-02-08,8760.62,invoice payment - gonzalez plc,"(Timestamp('2025-02-08 00:00:00'), 8760.62, 'invoice payment - gonzalez plc')",Matched
2025-02-26,8666.38,"vendor payment - watkins, benson and price","(Timestamp('2025-02-26 00:00:00'), 8666.38, 'vendor payment - watkins, benson and price')",Matched
2025-01-18,7870.01,salary transfer - brown-andersen,"(Timestamp('2025-01-18 00:00:00'), 7870.01, 'salary transfer - brown-andersen')",Matched
2025-01-08,5743.74,customer refund - ray-garcia,"(Timestamp('2025-01-08 00:00:00'), 5743.74, 'customer refund - ray-garcia')",Matched
2025-02-11,9792.1,travel expense - hartman-stanley,"(Timestamp('2025-02-11 00:00:00'), 9792.1, 'travel expense - hartman-stanley')",Matched
2025-03-25,1356.19,office rent - jackson-west,"(Timestamp('2025-03-25 00:00:00'), 1356.19, 'office rent - jackson-west')",Matched
2025-03-30,9369.73,"bank charges - lewis, martinez and rodriguez","(Timestamp('2025-03-30 00:00:00'), 9369.73, 'bank charges - lewis, martinez and rodriguez')",Matched
2025-02-13,5518.37,"office rent - brown, williams and tran","(Timestamp('2025-02-13 00:00:00'), 5518.37, 'office rent - brown, williams and tran')",Matched
2025-03-14,8538.98,"bank charges - williams, davis and frazier","(Timestamp('2025-03-14 00:00:00'), 8538.98, 'bank charges - williams, davis and frazier')",Matched
2025-01-13,6299.18,"equipment purchase - rojas, hodges and williams","(Timestamp('2025-01-13 00:00:00'), 6299.18, 'equipment purchase - rojas, hodges and williams')",Matched
2025-01-07,4023.78,travel expense - goodwin ltd,"(Timestamp('2025-01-07 00:00:00'), 4023.78, 'travel expense - goodwin ltd')",Matched
2025-01-01,2212.87,vendor payment - phillips-west,"(Timestamp('2025-01-01 00:00:00'), 2212.87, 'vendor payment - phillips-west')",Matched
2025-01-14,1121.7,"bank charges - carlson, morrison and smith","(Timestamp('2025-01-14 00:00:00'), 1121.7, 'bank charges - carlson, morrison and smith')",Matched
2025-02-08,1457.58,"office rent - frazier, gibson and baker","(Timestamp('2025-02-08 00:00:00'), 1457.58, 'office rent - frazier, gibson and baker')",Matched
2025-03-20,6535.2,"equipment purchase - wilson, hill and coleman","(Timestamp('2025-03-20 00:00:00'), 6535.2, 'equipment purchase - wilson, hill and coleman')",Matched
2025-02-22,6199.15,"equipment purchase - kelly, clark and beck","(Timestamp('2025-02-22 00:00:00'), 6199.15, 'equipment purchase - kelly, clark and beck')",Matched
2025-02-05,6481.74,"salary transfer - foster, cook and myers","(Timestamp('2025-02-05 00:00:00'), 6481.74, 'salary transfer - foster, cook and myers')",Matched
2025-01-10,5330.04,invoice payment - norris ltd,"(Timestamp('2025-01-10 00:00:00'), 5330.04, 'invoice payment - norris ltd')",Matched
2025-02-23,3717.58,"office rent - watson, stewart and reeves","(Timestamp('2025-02-23 00:00:00'), 3717.58, 'office rent - watson, stewart and reeves')",Matched
2025-02-09,882.31,salary transfer - fields-richmond,"(Timestamp('2025-02-09 00:00:00'), 882.31, 'salary transfer - fields-richmond')",Matched
2025-02-09,7016.89,salary transfer - fuller-peterson,"(Timestamp('2025-02-09 00:00:00'), 7016.89, 'salary transfer - fuller-peterson')",Matched
2025-01-08,2520.35,"service fee - molina, durham and aguirre","(Timestamp('2025-01-08 00:00:00'), 2520.35, 'service fee - molina, durham and aguirre')",Matched
2025-01-22,3781.51,travel expense - newman ltd,"(Timestamp('2025-01-22 00:00:00'), 3781.51, 'travel expense - newman ltd')",Matched
2025-01-16,7737.16,"invoice payment - villarreal, becker and schmidt","(Timestamp('2025-01-16 00:00:00'), 7737.16, 'invoice payment - villarreal, becker and schmidt')",Matched
2025-03-09,732.33,insurance payout - campbell-garcia,"(Timestamp('2025-03-09 00:00:00'), 732.33, 'insurance payout - campbell-garcia')",Matched
2025-03-22,862.99,equipment purchase - kelly plc,"(Timestamp('2025-03-22 00:00:00'), 862.99, 'equipment purchase - kelly plc')",Matched
2025-02-01,555.22,"bank charges - salazar, phillips and bishop","(Timestamp('2025-02-01 00:00:00'), 555.22, 'bank charges - salazar, phillips and bishop')",Matched
2025-02-19,9210.24,"office rent - bailey, flores and gomez","(Timestamp('2025-02-19 00:00:00'), 9210.24, 'office rent - bailey, flores and gomez')",Matched
2025-01-05,5573.36,service fee - anderson-hardy,"(Timestamp('2025-01-05 00:00:00'), 5573.36, 'service fee - anderson-hardy')",Matched
2025-02-10,2785.45,"vendor payment - guzman, meyer and clark","(Timestamp('2025-02-10 00:00:00'), 2785.45, 'vendor payment - guzman, meyer and clark')",Matched
2025-01-29,8062.95,invoice payment - price ltd,"(Timestamp('2025-01-29 00:00:00'), 8062.95, 'invoice payment - price ltd')",Matched
2025-02-11,955.22,equipment purchase - aguirre inc,"(Timestamp('2025-02-11 00:00:00'), 955.22, 'equipment purchase - aguirre inc')",Matched
2025-03-23,8411.78,invoice payment - arroyo-glass,"(Timestamp('2025-03-23 00:00:00'), 8411.78, 'invoice payment - arroyo-glass')",Matched
2025-02-12,114.47,service fee - simon group,"(Timestamp('2025-02-12 00:00:00'), 114.47, 'service fee - simon group')",Matched
2025-01-31,4256.18,invoice payment - conner-jones,"(Timestamp('2025-01-31 00:00:00'), 4256.18, 'invoice payment - conner-jones')",Matched
2025-01-06,9220.62,"customer refund - cannon, woodard and lopez","(Timestamp('2025-01-06 00:00:00'), 9220.62, 'customer refund - cannon, woodard and lopez')",Matched
2025-03-17,5721.43,service fee - howell plc,"(Timestamp('2025-03-17 00:00:00'), 5721.43, 'service fee - howell plc')",Matched
2025-02-03,8539.57,vendor payment - davis and sons,"(Timestamp('2025-02-03 00:00:00'), 8539.57, 'vendor payment - davis and sons')",Matched
2025-01-28,8375.66,"bank charges - underwood, bates and jensen","(Timestamp('2025-01-28 00:00:00'), 8375.66, 'bank charges - underwood, bates and jensen')",Matched
2025-03-28,3058.52,office rent - keller plc,"(Timestamp('2025-03-28 00:00:00'), 3058.52, 'office rent - keller plc')",Matched
2025-02-17,6894.22,vendor payment - ritter inc,"(Timestamp('2025-02-17 00:00:00'), 6894.22, 'vendor payment - ritter inc')",Matched
2025-01-03,9971.9,salary transfer - johnson-gibson,"(Timestamp('2025-01-03 00:00:00'), 9971.9, 'salary transfer - johnson-gibson')",Matched
2025-03-05,391.87,service fee - sanders llc,"(Timestamp('2025-03-05 00:00:00'), 391.87, 'service fee - sanders llc')",Matched
2025-01-23,3604.04,"office rent - hayes, williams and henson","(Timestamp('2025-01-23 00:00:00'), 3604.04, 'office rent - hayes, williams and henson')",Matched
2025-01-18,4250.42,"customer refund - mckenzie, farmer and berry","(Timestamp('2025-01-18 00:00:00'), 4250.42, 'customer refund - mckenzie, farmer and berry')",Matched
2025-03-03,5490.73,"equipment purchase - hill, burch and abbott","(Timestamp('2025-03-03 00:00:00'), 5490.73, 'equipment purchase - hill, burch and abbott')",Matched
2025-02-14,9135.5,customer refund - yang llc,"(Timestamp('2025-02-14 00:00:00'), 9135.5, 'customer refund - yang llc')",Matched
2025-02-11,3944.97,"office rent - owens, figueroa and taylor","(Timestamp('2025-02-11 00:00:00'), 3944.97, 'office rent - owens, figueroa and taylor')",Matched
2025-01-29,5799.35,service fee - hart llc,"(Timestamp('2025-01-29 00:00:00'), 5799.35, 'service fee - hart llc')",Matched
2025-01-23,2441.86,"bank charges - mills, perez and jimenez","(Timestamp('2025-01-23 00:00:00'), 2441.86, 'bank charges - mills, perez and jimenez')",Matched
2025-03-19,2266.21,customer refund - daniel-olsen,"(Timestamp('2025-03-19 00:00:00'), 2266.21, 'customer refund - daniel-olsen')",Matched
2025-04-01,9180.52,vendor payment - may ltd,"(Timestamp('2025-04-01 00:00:00'), 9180.52, 'vendor payment - may ltd')",Matched
2025-02-17,7074.93,service fee - may-massey,"(Timestamp('2025-02-17 00:00:00'), 7074.93, 'service fee - may-massey')",Matched
2025-03-17,1100.22,travel expense - harris-yu,"(Timestamp('2025-03-17 00:00:00'), 1100.22, 'travel expense - harris-yu')",Matched
2025-02-11,1450.87,office rent - stevens-brown,"(Timestamp('2025-02-11 00:00:00'), 1450.87, 'office rent - stevens-brown')",Matched
2025-01-23,3846.0,travel expense - houston-smith,"(Timestamp('2025-01-23 00:00:00'), 3846.0, 'travel expense - houston-smith')",Matched
2025-03-31,9492.11,service fee - ortiz-leach,"(Timestamp('2025-03-31 00:00:00'), 9492.11, 'service fee - ortiz-leach')",Matched
2025-01-29,6432.5,vendor payment - howell-preston,"(Timestamp('2025-01-29 00:00:00'), 6432.5, 'vendor payment - howell-preston')",Matched
2025-03-05,1492.37,vendor payment - hancock-hall,"(Timestamp('2025-03-05 00:00:00'), 1492.37, 'vendor payment - hancock-hall')",Matched
2025-01-22,6398.25,vendor payment - fleming-walters,"(Timestamp('2025-01-22 00:00:00'), 6398.25, 'vendor payment - fleming-walters')",Matched
2025-01-13,8305.19,"insurance payout - white, boyd and mccormick","(Timestamp('2025-01-13 00:00:00'), 8305.19, 'insurance payout - white, boyd and mccormick')",Matched
2025-04-01,3094.92,customer refund - michael llc,"(Timestamp('2025-04-01 00:00:00'), 3094.92, 'customer refund - michael llc')",Matched
2025-01-12,2324.54,vendor payment - brown ltd,"(Timestamp('2025-01-12 00:00:00'), 2324.54, 'vendor payment - brown ltd')",Matched
2025-02-01,2309.79,"vendor payment - nelson, lowe and price",,Only in Bank
2025-03-28,7432.61,customer refund - lynch inc,,Only in Bank
2025-01-12,5945.88,invoice payment - hale llc,,Only in Bank
2025-03-06,6059.99,customer refund - weber inc,,Only in Bank
2025-02-23,2282.36,"insurance payout - roberts, park and schneider",,Only in Bank
2025-02-05,8113.36,invoice payment - collins llc,,Only in Bank
2025-01-14,1018.18,vendor payment - reyes llc,,Only in Bank
2025-03-10,1335.78,service fee - foster-thomas,,Only in Bank
2025-01-11,5565.2,insurance payout - frederick group,,Only in Bank
2025-02-16,5815.79,vendor payment - anderson-jones,,Only in Bank
2025-01-11,8567.65,vendor payment - powers plc,,Only in Bank
2025-01-21,3764.79,salary transfer - collins-johnson,,Only in Bank
2025-03-27,2743.08,vendor payment - richardson-sampson,,Only in Bank
2025-03-19,6386.29,customer refund - rodriguez-charles,,Only in Bank
2025-02-04,9896.28,customer refund - welch plc,,Only in Bank
2025-01-29,6877.68,invoice payment - nelson llc,,Only in Bank
2025-01-30,8235.85,bank charges - burke ltd,,Only in Bank
2025-01-28,6588.84,service fee - summers and sons,,Only in Bank
2025-01-18,2541.61,"customer refund - soto, wilson and young",,Only in Bank
2025-03-07,4985.81,invoice payment - palmer-holland,,Only in Bank
2025-01-15,1613.13,office rent - cross-li,,Only in Bank
2025-03-29,4279.38,vendor payment - cameron ltd,,Only in Bank
2025-02-19,3878.03,"equipment purchase - tran, lopez and villa",,Only in Bank
2025-03-29,8859.41,travel expense - cameron ltd,,Only in Bank
2025-02-25,1665.76,invoice payment - noble-jensen,,Only in Bank
2025-02-03,9721.69,"office rent - schneider, lee and gomez",,Only in Bank
2025-03-23,5125.86,"salary transfer - graham, walker and jones",,Only in Bank
2025-01-20,3801.75,"office rent - smith, perez and rogers",,Only in Bank
2025-03-11,9539.65,customer refund - white-hill,,Only in Bank
2025-01-03,1207.49,bank charges - alvarez-sanders,,Only in Bank
2025-02-09,2470.58,salary transfer - swanson-blackwell,,Only in Bank
2025-03-04,8178.63,customer refund - roberson-guzman,,Only in Bank
2025-03-12,1734.76,customer refund - hanson-hall,,Only in Bank
2025-03-19,4289.07,salary transfer - martin ltd,,Only in Bank
2025-01-16,2554.27,"vendor payment - romero, torres and lawson",,Only in Bank
2025-01-30,5925.56,invoice payment - lee-robinson,,Only in Bank
2025-01-10,7107.63,invoice payment - tate-arnold,,Only in Bank
2025-01-30,767.26,"invoice payment - owens, thompson and gonzalez",,Only in Bank
2025-02-05,6722.88,salary transfer - butler-smith,,Only in Bank
2025-03-15,4779.44,"equipment purchase - mitchell, flores and cox",,Only in Bank
2025-03-26,4367.41,"service fee - snyder, marquez and dean",,Only in Bank
2025-02-22,4723.54,invoice payment - hayes-lindsey,,Only in Bank
2025-03-28,6569.21,vendor payment - ramirez llc,,Only in Bank
2025-01-08,4085.95,bank charges - gutierrez-clark,,Only in Bank
2025-01-14,2561.7,salary transfer - lowery plc,,Only in Bank
2025-01-24,2857.6,salary transfer - turner-holmes,,Only in Bank
2025-01-10,4486.99,customer refund - williams plc,,Only in Bank
2025-01-02,9693.06,"salary transfer - conley, wu and turner",,Only in Bank
2025-01-28,8660.04,invoice payment - vance-olson,,Only in Bank
2025-02-03,9272.53,"equipment purchase - zhang, schneider and moreno",,Only in Bank
2025-03-26,7212.24,"office rent - cunningham, martinez and hall",,Only in Bank
2025-01-25,3037.41,"invoice payment - gilbert, munoz and willis",,Only in Bank
2025-03-16,7383.8,invoice payment - lee llc,,Only in Bank
2025-03-03,5078.22,customer refund - wilson-williams,,Only in Bank
2025-01-21,663.11,customer refund - vazquez-sherman,,Only in Bank
2025-01-11,8528.29,vendor payment - thomas inc,,Only in Bank
2025-03-18,772.81,salary transfer - hartman-barton,,Only in Bank
2025-02-21,1286.88,insurance payout - pope-randall,,Only in Bank
2025-02-01,5831.3,invoice payment - white and sons,,Only in Bank
2025-03-21,911.64,"insurance payout - hood, black and underwood",,Only in Bank
2025-03-14,5275.55,travel expense - kennedy inc,,Only in Bank
2025-01-31,2729.58,office rent - manning llc,,Only in Bank
2025-02-10,9297.28,"vendor payment - obrien, douglas and moore",,Only in Bank
2025-01-02,4637.03,"insurance payout - levy, gibson and perkins",,Only in Bank
2025-01-13,825.28,salary transfer - anderson-hernandez,,Only in Bank
2025-03-06,2725.48,bank charges - jimenez and sons,,Only in Bank
2025-01-09,8804.78,bank charges - juarez plc,,Only in Bank
2025-01-18,2718.21,"vendor payment - santiago, warren and moore",,Only in Bank
2025-03-12,1638.93,travel expense - mendoza-brooks,,Only in Bank
2025-01-27,6906.22,"travel expense - santiago, butler and woods",,Only in Bank
2025-03-06,4936.47,"invoice payment - cox, bennett and price",,Only in Bank
2025-01-12,6379.42,travel expense - king plc,,Only in Bank
2025-03-23,9800.0,office rent - simmons llc,,Only in Bank
2025-01-05,8362.49,insurance payout - hinton llc,,Only in Bank
2025-03-12,1566.13,office rent - conley-lopez,,Only in Bank
2025-01-06,3151.76,invoice payment - hawkins plc,,Only in Bank
2025-02-15,2179.76,salary transfer - brooks-brown,,Only in Bank
2025-03-27,1117.66,"customer refund - king, cook and gross",,Only in Bank
2025-01-31,8659.6,"office rent - adams, hodges and kennedy",,Only in Bank
2025-02-22,345.38,bank charges - rodriguez-robinson,,Only in Bank
2025-02-22,8042.13,salary transfer - harper-horton,,Only in Bank
2025-02-04,1676.06,vendor payment - hodge-bailey,,Only in Bank
2025-02-18,8734.45,equipment purchase - oconnell inc,,Only in Bank
2025-01-29,2075.77,equipment purchase - webb group,,Only in Bank
2025-01-29,334.28,"salary transfer - stephens, chapman and gardner",,Only in Bank
2025-02-21,3349.79,"vendor payment - johnson, boone and morgan",,Only in Bank
